"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","NULLABLE"
"BILLING_SCHEDULES_ALL","PRORATE_REQ_FLAG","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","DELIVERED_QUANTITY","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","LEGACY_FROM_DATE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","LEGACY_TO_DATE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CAL_MONTH","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CAL_QUARTER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CAL_YEAR","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","FISCAL_MONTH","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","FISCAL_QUARTER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","FISCAL_YEAR","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PERIOD_MONTH","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CONTINGENCY","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CONTINGENCY_RELEASED","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","OVERRIDE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CONTING_EXPECTED_DATE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CONTING_ACTUAL_DATE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","GOAL_RESET_FLAG","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","SCH_PROCESSED","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","TIER_DETAILS","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PRE_PAYMENT_LINE_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PREVIOUS_BILL_SCH_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","REFRESH_FLAG","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PRE_PAYMENT_BILL_SCH_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ACCOUNTING_RULE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","INVOICING_RULE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BILL_RUN_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ACCOUNTING_RULE_DURATION","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PERIOD_AMOUNT","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","TAX_STATUS","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ERROR_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CREDIT_METHOD","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ADJUSTMENTS_REASON_CODE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","COMMENTS","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CUSTOMER_TRX_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","CUSTOMER_TRX_LINE_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PARENT_TRX_NUMBER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PARENT_TRN_LINE_NUMBER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","ADJUSTMENT_DTL_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","BILL_SCH_SOURCE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","LINE_UOM","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","LINE_UNIT_PRICE","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","LINE_ORDERED_QUANTITY","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","LEGAL_ENTITY_ID","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","SOURCE_QUANTITY","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PROFORMA_TRX_NUMBER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PROFORMA_TRN_LINE_NUMBER","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","APPROVER_GROUP","VARCHAR2",4000,"Y"
"BILLING_SCHEDULES_ALL","PRICING_SCH_ID","VARCHAR2",4000,"Y"
